ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΣΤ' - ΠΑΝΑΓΙΑΣ ΤΡΙΧΕΡΟΥΣΑΣ,17.00-18.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΠΙΣΚΟΠΗΣ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΓ' (ΚΒ) - ΑΓΙΟΥ ΣΠΥΡΙΔΩΝΑ Α',17.00-18.30,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Β+Γ,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΒΟΥΝΙΟΥ,09.30-11.00,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Β+Γ,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΒΟΥΝΙΟΥ,11.00-12.30,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΣΤΕΝΟΓΡΑΦΙΑ,Α,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΣΥΝΤΗΡΗΣΗ – ΑΝΑΠΑΛΑΙΩΣΗ ΕΠΙΠΛΩΝ ΚΑΙ ΞΥΛΙΝΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ,Α+Β,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,18.00-19.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΣΧΕΔΙΑΣΜΟΣ ΙΣΤΟΣΕΛΙΔΩΝ,Α+Β,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΤΟΞΟΒΟΛΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΑ' (ΚΒ) - ΤΣΙΡΕΙΟ,18.00-19.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΤΟΞΟΒΟΛΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΑ' (ΚΒ) - ΤΣΙΡΕΙΟ,19.30-21.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΦΙΛΟΣΟΦΙΑ – ΒΑΣΙΚΑ ΘΕΜΑΤΑ,Α+Β,ΘΕΚΛΕΙΟ ΓΥΜΝΑΣΙΟ,18.00-19.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,17.00-18.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α+Β,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,17.30-19.00,ΠΑΡΑΣΚΕΥΗ
ΛΕΜΕΣΟΣ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Β,ΓΥΜΝΑΣΙΟ ΛΙΝΟΠΕΤΡΑΣ,18.30-20.00,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ – PHOTOSHOP,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,17.00-18.30,ΤΕΤΑΡΤΗ
